event_id_cnty,event_date,event_type,country,admin1,admin2,admin3,latitude,longitude,fatalities
MZM1626,2020-07-07,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1628,2020-07-07,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,4
MZM1659,2020-07-07,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3905,40.3822,4
MZM1627,2020-07-07,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1625,2020-07-06,Riots,Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,1
MZM1624,2020-07-04,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-11.9671,40.3950,3
MZM1623,2020-07-03,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM1621,2020-07-03,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Quiterajo,-11.7975,40.4411,0
MZM1622,2020-07-03,"Strategic developments",Mozambique,Manica,Sussundenga,Dombe,-19.9713,33.3983,0
MZM1620,2020-07-02,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM1619,2020-07-01,"Strategic developments",Mozambique,Sofala,Chibabava,Muxungue,-20.5855,33.8448,0
